"","ring_id","datetime_trunc","year","reporting_type","dt","time","layer_1_vout","layer_1_concentration","layer_1_setpoint","layer_2_vout","layer_2_concentration","layer_2_setpoint","wind_speed","wind_direction","sector","O3_on","leaf_wetness","file_source","number_of_records","datetime","Range_flag"
"212700",1,"="" 2019-07-22 21:55:00 ""","2019","M","07/22/2019","21:55:21",0,470,600,"0.00","0",0,1,368,2,"0","0.01 ","\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_072219.csv",1437,"="" 2019-07-22 21:55:21 ""","wind_direction"
"212701",1,"="" 2019-07-22 21:56:00 ""","2019","M","07/22/2019","21:56:21",0,473,600,"0.00","0",0,1.1,368,2,"0","0.01 ","\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_072219.csv",1437,"="" 2019-07-22 21:56:21 ""","wind_direction"
"212717",1,"="" 2019-07-22 22:12:00 ""","2019","M","07/22/2019","22:12:21",0,477,600,"0.00","0",0,0.9,368,2,"0","0.01 ","\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_072219.csv",1437,"="" 2019-07-22 22:12:21 ""","wind_direction"
"212718",1,"="" 2019-07-22 22:13:00 ""","2019","M","07/22/2019","22:13:21",0,475,600,"0.00","0",0,1,368,2,"0","0.01 ","\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_072219.csv",1437,"="" 2019-07-22 22:13:21 ""","wind_direction"
"212727",1,"="" 2019-07-22 22:22:00 ""","2019","M","07/22/2019","22:22:21",0,471,600,"0.00","0",0,1.2,368,2,"0","0.01 ","\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_072219.csv",1437,"="" 2019-07-22 22:22:21 ""","wind_direction"
"212778",1,"="" 2019-07-22 23:13:00 ""","2019","M","07/22/2019","23:13:21",0,556,600,"0.00","0",0,0,368,2,"0","0.01 ","\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_072219.csv",1437,"="" 2019-07-22 23:13:21 ""","wind_direction"
"212804",1,"="" 2019-07-22 23:39:00 ""","2019","M","07/22/2019","23:39:21",0,560,600,"0.00","0",0,1,368,2,"0","0.01 ","\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_072219.csv",1437,"="" 2019-07-22 23:39:21 ""","wind_direction"
"212875",1,"="" 2019-07-23 00:50:00 ""","2019","M","07/23/2019","00:50:21",0,618,600,"0.00","0",0,0,368,2,"0","0.01 ","\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_072319.csv",1435,"="" 2019-07-23 00:50:21 ""","wind_direction"
"213443",1,"="" 2019-07-23 10:18:00 ""","2019","M","07/23/2019","10:18:21",2.6,604,600,"0.00","0",0,5,368,1,"0","0.01 ","\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_072319.csv",1435,"="" 2019-07-23 10:18:21 ""","wind_direction"
"213550",1,"="" 2019-07-23 12:05:00 ""","2019","M","07/23/2019","12:05:21",2.8,556,600,"0.00","0",0,4.7,368,1,"0","0.01 ","\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_072319.csv",1435,"="" 2019-07-23 12:05:21 ""","wind_direction"
"213793",1,"="" 2019-07-23 16:08:00 ""","2019","M","07/23/2019","16:08:21",2.93,571,600,"0.00","0",0,5.8,368,1,"0","0.01 ","\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_072319.csv",1435,"="" 2019-07-23 16:08:21 ""","wind_direction"
"213901",1,"="" 2019-07-23 17:56:00 ""","2019","M","07/23/2019","17:56:21",0,390,600,"0.00","0",0,4.8,368,8,"0","0.01 ","\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_072319.csv",1435,"="" 2019-07-23 17:56:21 ""","wind_direction"
"214189",1,"="" 2019-07-23 22:44:00 ""","2019","M","07/23/2019","22:44:21",0,646,600,"0.00","0",0,0,368,8,"0","0.01 ","\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_072319.csv",1435,"="" 2019-07-23 22:44:21 ""","wind_direction"
"491350",3,"="" 2019-07-04 10:01:00 ""","2019","M","07/04/2019","10:01:19",5.53,410,600,"0.00","0",0,1.6,371,8,"0","0.01 ","\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R16/Avg_070419.csv",215,"="" 2019-07-04 10:01:19 ""","wind_direction"
"949397",6,"="" 2019-07-04 11:09:00 ""","2019","M","07/04/2019","11:09:36",0,1,100,"0.00","0",0,0.2,749,1,"0","10.41 ","\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R26/Avg_070419.csv",125,"="" 2019-07-04 11:09:36 ""","wind_direction"
